LAName,LACode,ONSName,Housing,Economy,Security,Education,Health,Green,Equality,Wellbeing,Services,Governance,Population,Total,WebName,WebURL,Rank,Housing rank,Economy rank,Security rank,Education rank,Health rank,Green rank,Equality rank,Wellbeing rank,Services rank,Governance rank
Aldershot PUA,PUA0ALDE,"Aldershot, United Kingdom",4,5,5,5,5,3,5,1,5,5,183409,43,Aldershot_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Aldershot_PUA&r1d1=d14&r1d2=d25&r1d3=d35&r1d4=d45&r1d5=d55&r1d6=d63&r1d7=d75&r1d8=d81&r1d9=d95&r1d10=d105&r1d11=d14",4,13,10,1,1,8,35,2,56,3,8
Barnsley PUA,PUA0BARN,"Barnsley, United Kingdom",4,1,2,3,2,2,2,3,2,2,239319,23,Barnsley_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Barnsley_PUA&r1d1=d14&r1d2=d21&r1d3=d32&r1d4=d43&r1d5=d52&r1d6=d62&r1d7=d72&r1d8=d83&r1d9=d92&r1d10=d102&r1d11=d14",49,25,61,39,32,39,50,42,26,50,49
Basildon PUA,PUA0BASI,"Basildon, United Kingdom",2,4,3,4,2,5,2,5,3,1,181721,31,Basildon_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Basildon_PUA&r1d1=d12&r1d2=d24&r1d3=d33&r1d4=d44&r1d5=d52&r1d6=d65&r1d7=d72&r1d8=d85&r1d9=d93&r1d10=d101&r1d11=d12",28,40,20,31,23,40,4,40,11,33,59
Birkenhead PUA,PUA0BIRK,"Birkenhead, United Kingdom",5,2,5,3,1,3,2,2,3,3,320900,29,Birkenhead_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Birkenhead_PUA&r1d1=d15&r1d2=d22&r1d3=d35&r1d4=d43&r1d5=d51&r1d6=d63&r1d7=d72&r1d8=d82&r1d9=d93&r1d10=d103&r1d11=d15",37,1,48,4,28,53,30,44,41,29,31
Birmingham PUA,PUA0BIRM,"Birmingham, United Kingdom",1,2,3,2,3,3,1,2,1,1,2488172,19,Birmingham_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Birmingham_PUA&r1d1=d11&r1d2=d22&r1d3=d33&r1d4=d42&r1d5=d53&r1d6=d63&r1d7=d71&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d11",57,55,41,34,44,37,37,60,50,59,62
Blackburn PUA,PUA0BLAC,"Blackburn, United Kingdom",2,2,3,2,1,3,1,3,1,2,146846,20,Blackburn_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Blackburn_PUA&r1d1=d12&r1d2=d22&r1d3=d33&r1d4=d42&r1d5=d51&r1d6=d63&r1d7=d71&r1d8=d83&r1d9=d91&r1d10=d102&r1d11=d12",55,51,49,36,51,55,32,53,28,60,46
Bournemouth PUA,PUA0BOUR,"Bournemouth, United Kingdom",2,4,5,4,4,5,5,3,5,5,482840,42,Bournemouth_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bournemouth_PUA&r1d1=d12&r1d2=d24&r1d3=d35&r1d4=d44&r1d5=d54&r1d6=d65&r1d7=d75&r1d8=d83&r1d9=d95&r1d10=d105&r1d11=d12",5,50,19,9,25,15,2,6,34,5,5
Blackpool PUA,PUA0BPOL,"Blackpool, United Kingdom",1,1,1,1,2,4,2,4,1,4,216900,21,Blackpool_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Blackpool_PUA&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d52&r1d6=d64&r1d7=d72&r1d8=d84&r1d9=d91&r1d10=d104&r1d11=d11",51,56,54,62,56,51,23,46,13,56,17
Bradford PUA,PUA0BRAD,"Bradford, United Kingdom",1,2,2,2,3,4,1,2,1,2,531176,20,Bradford_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bradford_PUA&r1d1=d11&r1d2=d22&r1d3=d32&r1d4=d42&r1d5=d53&r1d6=d64&r1d7=d71&r1d8=d82&r1d9=d91&r1d10=d102&r1d11=d11",55,57,45,51,40,33,18,59,43,52,42
Brighton PUA,PUA0BRIG,"Brighton, United Kingdom",3,5,5,4,2,2,3,2,5,5,348705,36,Brighton_PUA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Brighton_PUA&r1d1=d13&r1d2=d25&r1d3=d35&r1d4=d44&r1d5=d52&r1d6=d62&r1d7=d73&r1d8=d82&r1d9=d95&r1d10=d105&r1d11=d13",12,37,9,12,24,42,40,36,45,6,3
