LAName,LACode,ONSName,Housing,Economy,Security,Education,Health,Green,Equality,Wellbeing,Services,Governance,Population,Total,WebName,WebURL,Rank,Housing rank,Economy rank,Security rank,Education rank,Health rank,Green rank,Equality rank,Wellbeing rank,Services rank,Governance rank
County Durham,E06000047,County Durham,2,1,3,2,3,3,3,2,2,1,519695,22,County_Durham,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=County_Durham&r1d1=d12&r1d2=d21&r1d3=d33&r1d4=d42&r1d5=d53&r1d6=d63&r1d7=d73&r1d8=d82&r1d9=d92&r1d10=d101&r1d11=d12",118,106,128,85,119,86,73,77,100,116,130
Darlington,E06000005,Darlington,3,2,1,1,1,3,3,4,4,4,105389,26,Darlington,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Darlington&r1d1=d13&r1d2=d22&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d63&r1d7=d73&r1d8=d84&r1d9=d94&r1d10=d104&r1d11=d13",94,65,114,129,133,141,82,74,52,34,45
Hartlepool,E06000001,Hartlepool,3,1,1,2,1,2,1,1,2,1,92493,15,Hartlepool,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Hartlepool&r1d1=d13&r1d2=d21&r1d3=d31&r1d4=d42&r1d5=d51&r1d6=d62&r1d7=d71&r1d8=d81&r1d9=d92&r1d10=d101&r1d11=d13",149,90,149,135,114,135,100,125,123,93,136
Middlesbrough,E06000002,Middlesbrough,2,1,1,1,1,3,1,4,1,3,139509,18,Middlesbrough,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Middlesbrough&r1d1=d12&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d63&r1d7=d71&r1d8=d84&r1d9=d91&r1d10=d103&r1d11=d12",135,105,150,146,144,150,87,135,51,144,75
Northumberland,E06000057,Northumberland,3,2,3,2,3,5,4,4,2,4,315263,32,Northumberland,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Northumberland&r1d1=d13&r1d2=d22&r1d3=d33&r1d4=d42&r1d5=d53&r1d6=d65&r1d7=d74&r1d8=d84&r1d9=d92&r1d10=d104&r1d11=d13",57,66,107,76,107,65,2,40,46,110,60
Redcar and Cleveland,E06000003,Redcar and Cleveland,4,1,1,1,2,1,2,3,3,4,135275,22,Redcar_and_Cleveland,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Redcar_and_Cleveland&r1d1=d14&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d52&r1d6=d61&r1d7=d72&r1d8=d83&r1d9=d93&r1d10=d104&r1d11=d14",118,33,138,127,145,97,151,97,78,70,41
Stockton-on-Tees,E06000004,Stockton-on-Tees,4,2,3,1,1,2,3,3,2,4,194803,25,Stockton-on-Tees,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Stockton-on-Tees&r1d1=d14&r1d2=d22&r1d3=d33&r1d4=d41&r1d5=d51&r1d6=d62&r1d7=d73&r1d8=d83&r1d9=d92&r1d10=d104&r1d11=d14",101,38,109,74,135,152,120,88,68,100,38
Gateshead,E08000037,Gateshead,2,2,2,2,3,2,3,3,1,2,200996,22,Gateshead,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Gateshead&r1d1=d12&r1d2=d22&r1d3=d32&r1d4=d42&r1d5=d53&r1d6=d62&r1d7=d73&r1d8=d83&r1d9=d91&r1d10=d102&r1d11=d12",118,110,118,116,92,72,101,82,80,132,112
Newcastle upon Tyne,E08000021,Newcastle upon Tyne,4,2,1,2,1,3,1,1,3,3,292883,21,Newcastle_upon_Tyne,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Newcastle_upon_Tyne&r1d1=d14&r1d2=d22&r1d3=d31&r1d4=d42&r1d5=d51&r1d6=d63&r1d7=d71&r1d8=d81&r1d9=d93&r1d10=d103&r1d11=d14",128,45,98,142,122,140,62,127,142,63,68
North Tyneside,E08000022,North Tyneside,5,2,3,4,2,3,3,2,5,1,202494,30,North_Tyneside,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=North_Tyneside&r1d1=d15&r1d2=d22&r1d3=d33&r1d4=d44&r1d5=d52&r1d6=d63&r1d7=d73&r1d8=d82&r1d9=d95&r1d10=d101&r1d11=d15",68,11,106,84,46,102,70,71,109,21,126
