LAName,LACode,ONSName,Housing,Economy,Security,Education,Health,Green,Equality,Wellbeing,Services,Governance,Population,Total,WebName,WebURL,Rank,Housing rank,Economy rank,Security rank,Education rank,Health rank,Green rank,Equality rank,Wellbeing rank,Services rank,Governance rank
"Middlesbrough and Stockton, United Kingdom",GG0MIDD,"Middlesbrough, United Kingdom",4,1,2,1,1,1,2,4,2,4,334312,22,Middlesbrough_and_Stockton_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Middlesbrough_and_Stockton_TTWA&r1d1=d14&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d51&r1d6=d61&r1d7=d72&r1d8=d84&r1d9=d92&r1d10=d104&r1d11=d14",35,15,35,26,36,42,41,30,9,32,11
"Wakefield and Castleford, United Kingdom",GG0WAKE,"Wakefield, United Kingdom",3,1,2,3,3,2,5,4,3,3,333759,29,Wakefield_and_Castleford_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Wakefield_and_Castleford_TTWA&r1d1=d13&r1d2=d21&r1d3=d32&r1d4=d43&r1d5=d53&r1d6=d62&r1d7=d75&r1d8=d84&r1d9=d93&r1d10=d103&r1d11=d13",24,25,38,27,18,24,34,4,14,18,24
"London Boroughs, United Kingdom",GG0LONB,"Westminster, United Kingdom",2,5,4,5,5,4,1,3,3,2,8673713,34,London_Boroughs_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=London_Boroughs_TTWA&r1d1=d12&r1d2=d25&r1d3=d34&r1d4=d45&r1d5=d55&r1d6=d64&r1d7=d71&r1d8=d83&r1d9=d93&r1d10=d102&r1d11=d12",12,31,1,17,2,7,17,38,25,20,34
"Newcastle, United Kingdom",GG0NEWC,"Newcastle, United Kingdom",4,2,1,2,1,3,1,1,5,3,292883,23,Newcastle_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Newcastle_TTWA&r1d1=d14&r1d2=d22&r1d3=d31&r1d4=d42&r1d5=d51&r1d6=d63&r1d7=d71&r1d8=d81&r1d9=d95&r1d10=d103&r1d11=d14",31,12,27,38,28,39,20,35,38,8,22
"Liverpool, United Kingdom",GG0LIVE,"Liverpool, United Kingdom",5,1,2,1,2,3,1,1,2,1,478580,19,Liverpool_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Liverpool_TTWA&r1d1=d15&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d52&r1d6=d63&r1d7=d71&r1d8=d81&r1d9=d92&r1d10=d101&r1d11=d15",39,1,37,29,41,27,24,41,39,31,36
"Birmingham, United Kingdom",GG0BIRM,"Birmingham, United Kingdom",1,3,3,2,4,2,1,2,1,1,1111307,20,Birmingham_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Birmingham_TTWA&r1d1=d11&r1d2=d23&r1d3=d33&r1d4=d42&r1d5=d54&r1d6=d62&r1d7=d71&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d11",37,42,21,23,31,14,33,40,29,40,41
"Sunderland, United Kingdom",GG0SUND,"Sunderland, United Kingdom",4,1,2,2,1,1,2,3,2,1,277150,19,Sunderland_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Sunderland_TTWA&r1d1=d14&r1d2=d21&r1d3=d32&r1d4=d42&r1d5=d51&r1d6=d61&r1d7=d72&r1d8=d83&r1d9=d92&r1d10=d101&r1d11=d14",39,14,41,34,30,35,38,29,19,29,42
"Hull, United Kingdom",GG0HULL,"Hull, United Kingdom",1,1,1,1,1,5,1,1,1,1,258995,14,Hull_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Hull_TTWA&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d65&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d11",42,37,42,42,39,38,4,37,35,38,37
"Southend, United Kingdom",GG0SEND,"Southend, United Kingdom",5,4,5,5,1,5,4,4,5,2,254759,40,Southend_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Southend_TTWA&r1d1=d15&r1d2=d24&r1d3=d35&r1d4=d45&r1d5=d51&r1d6=d65&r1d7=d74&r1d8=d84&r1d9=d95&r1d10=d102&r1d11=d15",5,5,13,8,7,40,8,14,15,7,33
"Bradford, United Kingdom",GG0BRAD,"Bradford, United Kingdom",1,2,2,3,3,4,2,2,2,2,531176,23,Bradford_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bradford_TTWA&r1d1=d11&r1d2=d22&r1d3=d32&r1d4=d43&r1d5=d53&r1d6=d64&r1d7=d72&r1d8=d82&r1d9=d92&r1d10=d102&r1d11=d11",31,36,33,28,24,23,11,32,26,33,27
"Sheffield, United Kingdom",GG0SHEF,"Sheffield, United Kingdom",5,2,3,2,3,2,2,3,4,2,830523,28,Sheffield_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Sheffield_TTWA&r1d1=d15&r1d2=d22&r1d3=d33&r1d4=d42&r1d5=d53&r1d6=d62&r1d7=d72&r1d8=d83&r1d9=d94&r1d10=d102&r1d11=d15",26,6,31,24,29,25,32,27,22,9,26
"Medway, United Kingdom",GG0MEDW,"Medway, United Kingdom",4,2,3,1,5,5,4,2,2,5,276492,33,Medway_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Medway_TTWA&r1d1=d14&r1d2=d22&r1d3=d33&r1d4=d41&r1d5=d55&r1d6=d65&r1d7=d74&r1d8=d82&r1d9=d92&r1d10=d105&r1d11=d14",15,10,26,19,42,6,1,15,28,30,4
"Warrington and Wigan, United Kingdom",GG0WARR,"Warrington, United Kingdom",4,3,5,5,1,4,5,5,2,1,529717,35,Warrington_and_Wigan_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Warrington_and_Wigan_TTWA&r1d1=d14&r1d2=d23&r1d3=d35&r1d4=d45&r1d5=d51&r1d6=d64&r1d7=d75&r1d8=d85&r1d9=d92&r1d10=d101&r1d11=d14",9,17,18,3,6,41,15,6,6,26,35
"Manchester, United Kingdom",GG0MANC,"Manchester, United Kingdom",1,4,1,1,3,3,1,1,1,1,530292,17,Manchester_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Manchester_TTWA&r1d1=d11&r1d2=d24&r1d3=d31&r1d4=d41&r1d5=d53&r1d6=d63&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d101&r1d11=d11",41,41,11,36,35,22,19,42,41,42,40
"Nottingham, United Kingdom",GG0NOTT,"Nottingham, United Kingdom",5,2,1,1,3,3,2,1,1,5,318901,24,Nottingham_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Nottingham_TTWA&r1d1=d15&r1d2=d22&r1d3=d31&r1d4=d41&r1d5=d53&r1d6=d63&r1d7=d72&r1d8=d81&r1d9=d91&r1d10=d105&r1d11=d15",29,7,32,41,40,20,21,34,36,37,2
"Leeds, United Kingdom",GG0LEED,"Leeds, United Kingdom",4,4,2,1,2,2,3,4,3,3,774060,28,Leeds_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Leeds_TTWA&r1d1=d14&r1d2=d24&r1d3=d32&r1d4=d41&r1d5=d52&r1d6=d62&r1d7=d73&r1d8=d84&r1d9=d93&r1d10=d103&r1d11=d14",26,11,17,31,38,31,30,20,10,23,25
"Plymouth, United Kingdom",GG0PLYM,"Plymouth, United Kingdom",5,1,3,2,5,4,4,5,2,2,262712,33,Plymouth_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Plymouth_TTWA&r1d1=d15&r1d2=d21&r1d3=d33&r1d4=d42&r1d5=d55&r1d6=d64&r1d7=d74&r1d8=d85&r1d9=d92&r1d10=d102&r1d11=d15",15,8,36,25,32,3,10,9,8,28,28
"Stoke-on-Trent, United Kingdom",GG0STOK,"Stoke-on-Trent, United Kingdom",1,1,1,2,2,2,3,2,2,4,251648,20,Stoke-on-Trent_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Stoke-on-Trent_TTWA&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d42&r1d5=d52&r1d6=d62&r1d7=d73&r1d8=d82&r1d9=d92&r1d10=d104&r1d11=d11",37,35,40,40,27,34,31,24,31,27,14
"Birkenhead, United Kingdom",GG0BIRK,"Birkenhead, United Kingdom",5,3,5,5,2,1,4,3,5,5,654817,38,Birkenhead_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Birkenhead_TTWA&r1d1=d15&r1d2=d23&r1d3=d35&r1d4=d45&r1d5=d52&r1d6=d61&r1d7=d74&r1d8=d83&r1d9=d95&r1d10=d105&r1d11=d15",6,3,19,2,5,32,36,10,20,5,7
"Swindon, United Kingdom",GG0SWIN,"Swindon, United Kingdom",4,4,1,3,3,3,5,4,5,3,217160,35,Swindon_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Swindon_TTWA&r1d1=d14&r1d2=d24&r1d3=d31&r1d4=d43&r1d5=d53&r1d6=d63&r1d7=d75&r1d8=d84&r1d9=d95&r1d10=d103&r1d11=d14",9,16,14,35,22,18,23,3,12,6,23
"Portsmouth, United Kingdom",GG0PORT,"Portsmouth, United Kingdom",1,3,2,2,2,2,3,5,4,2,211758,26,Portsmouth_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Portsmouth_TTWA&r1d1=d11&r1d2=d23&r1d3=d32&r1d4=d42&r1d5=d52&r1d6=d62&r1d7=d73&r1d8=d85&r1d9=d94&r1d10=d102&r1d11=d11",28,39,24,33,34,26,27,22,2,16,31
"Milton Keynes, United Kingdom",GG0MILT,"Milton Keynes, United Kingdom",2,5,5,5,4,5,5,5,5,4,450469,45,Milton_Keynes_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Milton_Keynes_TTWA&r1d1=d12&r1d2=d25&r1d3=d35&r1d4=d45&r1d5=d54&r1d6=d65&r1d7=d75&r1d8=d85&r1d9=d95&r1d10=d104&r1d11=d12",2,32,6,5,3,11,7,2,7,3,9
"Brighton, United Kingdom",GG0BRIG,"Brighton, United Kingdom",2,5,4,4,2,2,2,2,5,5,285276,33,Brighton_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Brighton_TTWA&r1d1=d12&r1d2=d25&r1d3=d34&r1d4=d44&r1d5=d52&r1d6=d62&r1d7=d72&r1d8=d82&r1d9=d95&r1d10=d105&r1d11=d12",15,28,7,14,9,29,29,26,34,4,1
"Coventry, United Kingdom",GG0COVE,"Coventry, United Kingdom",2,3,4,2,2,2,2,3,3,1,345385,24,Coventry_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Coventry_TTWA&r1d1=d12&r1d2=d23&r1d3=d34&r1d4=d42&r1d5=d52&r1d6=d62&r1d7=d72&r1d8=d83&r1d9=d93&r1d10=d101&r1d11=d12",29,34,22,16,26,33,26,31,21,24,38
"Leicester, United Kingdom",GG0LEIC,"Leicester, United Kingdom",5,3,3,1,3,5,1,2,1,5,342627,29,Leicester_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Leicester_TTWA&r1d1=d15&r1d2=d23&r1d3=d33&r1d4=d41&r1d5=d53&r1d6=d65&r1d7=d71&r1d8=d82&r1d9=d91&r1d10=d105&r1d11=d15",24,4,25,21,37,19,6,39,30,41,3
"Norwich, United Kingdom",GG0NORW,"Norwich, United Kingdom",4,3,2,3,5,4,2,3,3,2,138872,31,Norwich_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Norwich_TTWA&r1d1=d14&r1d2=d23&r1d3=d32&r1d4=d43&r1d5=d55&r1d6=d64&r1d7=d72&r1d8=d83&r1d9=d93&r1d10=d102&r1d11=d14",21,13,23,30,20,2,9,33,24,25,29
"Bristol, United Kingdom",GG0BRIS,"Bristol, United Kingdom",1,5,3,2,4,5,3,1,3,4,449328,31,Bristol_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Bristol_TTWA&r1d1=d11&r1d2=d25&r1d3=d33&r1d4=d42&r1d5=d54&r1d6=d65&r1d7=d73&r1d8=d81&r1d9=d93&r1d10=d104&r1d11=d11",21,38,8,20,33,9,3,23,37,19,13
"Preston, United Kingdom",GG0PRES,"Preston, United Kingdom",4,2,2,3,1,2,3,1,1,4,141302,23,Preston_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Preston_TTWA&r1d1=d14&r1d2=d22&r1d3=d32&r1d4=d43&r1d5=d51&r1d6=d62&r1d7=d73&r1d8=d81&r1d9=d91&r1d10=d104&r1d11=d14",31,9,30,32,19,36,28,25,42,39,12
"Oxford, United Kingdom",GG0OXFO,"Oxford, United Kingdom",5,5,5,4,5,5,5,5,5,5,159574,49,Oxford_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Oxford_TTWA&r1d1=d15&r1d2=d25&r1d3=d35&r1d4=d44&r1d5=d55&r1d6=d65&r1d7=d75&r1d8=d85&r1d9=d95&r1d10=d105&r1d11=d15",1,2,4,4,10,1,2,5,3,1,5
"Cambridge, United Kingdom",GG0CAMB,"Cambridge, United Kingdom",2,5,5,5,5,5,5,1,3,5,130907,41,Cambridge_TTWA,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Cambridge_TTWA&r1d1=d12&r1d2=d25&r1d3=d35&r1d4=d45&r1d5=d55&r1d6=d65&r1d7=d75&r1d8=d81&r1d9=d93&r1d10=d105&r1d11=d12",3,26,3,1,4,4,5,1,40,21,6
