LAName,LACode,ONSName,Housing,Economy,Security,Education,Health,Green,Equality,Wellbeing,Services,Governance,Population,Total,WebName,WebURL,Rank,Housing rank,Economy rank,Security rank,Education rank,Health rank,Green rank,Equality rank,Wellbeing rank,Services rank,Governance rank
County Durham,E06000047,County Durham,2,1,2,1,2,3,2,2,1,1,519695,17,County_Durham,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=County_Durham&r1d1=d12&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d52&r1d6=d63&r1d7=d72&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d12",197,170,181,143,184,145,100,137,152,181,195
Darlington,E06000005,Darlington,4,2,1,1,1,3,3,4,5,4,105389,28,Darlington,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Darlington&r1d1=d14&r1d2=d22&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d63&r1d7=d73&r1d8=d84&r1d9=d95&r1d10=d104&r1d11=d14",94,65,159,194,198,206,114,120,80,34,45
Hartlepool,E06000001,Hartlepool,2,1,1,1,1,2,1,1,2,1,92493,13,Hartlepool,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Hartlepool&r1d1=d12&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d62&r1d7=d71&r1d8=d81&r1d9=d92&r1d10=d101&r1d11=d12",215,154,211,200,179,200,144,190,180,158,201
Middlesbrough,E06000002,Middlesbrough,2,1,1,1,1,3,1,4,1,2,139509,17,Middlesbrough,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Middlesbrough&r1d1=d12&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d63&r1d7=d71&r1d8=d84&r1d9=d91&r1d10=d102&r1d11=d12",197,171,214,211,209,215,121,200,78,209,140
Northumberland,E06000057,Northumberland,4,2,2,2,4,5,5,4,1,4,315263,33,Northumberland,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Northumberland&r1d1=d14&r1d2=d22&r1d3=d32&r1d4=d42&r1d5=d54&r1d6=d65&r1d7=d75&r1d8=d84&r1d9=d91&r1d10=d104&r1d11=d14",53,66,148,132,172,66,3,41,69,175,60
Redcar and Cleveland,E06000003,Redcar and Cleveland,5,1,1,1,2,1,2,3,2,5,135275,23,Redcar_and_Cleveland,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Redcar_and_Cleveland&r1d1=d15&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d52&r1d6=d61&r1d7=d72&r1d8=d83&r1d9=d92&r1d10=d105&r1d11=d15",160,33,195,191,210,162,216,161,121,135,41
Stockton-on-Tees,E06000004,Stockton-on-Tees,5,2,3,1,1,1,2,3,2,5,194803,25,Stockton-on-Tees,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Stockton-on-Tees&r1d1=d15&r1d2=d22&r1d3=d33&r1d4=d41&r1d5=d51&r1d6=d61&r1d7=d72&r1d8=d83&r1d9=d92&r1d10=d105&r1d11=d15",143,38,151,129,200,217,184,152,107,165,38
Gateshead,E08000037,Gateshead,1,2,1,2,4,2,2,3,1,1,200996,19,Gateshead,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Gateshead&r1d1=d11&r1d2=d22&r1d3=d31&r1d4=d42&r1d5=d54&r1d6=d62&r1d7=d72&r1d8=d83&r1d9=d91&r1d10=d101&r1d11=d11",194,175,164,178,157,73,146,145,124,197,177
Newcastle upon Tyne,E08000021,Newcastle upon Tyne,4,2,1,1,1,4,1,1,4,2,292883,21,Newcastle_upon_Tyne,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Newcastle_upon_Tyne&r1d1=d14&r1d2=d22&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d64&r1d7=d71&r1d8=d81&r1d9=d94&r1d10=d102&r1d11=d14",183,44,134,207,187,205,83,192,204,64,133
North Tyneside,E08000022,North Tyneside,5,2,2,4,2,3,3,2,5,1,202494,29,North_Tyneside,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=North_Tyneside&r1d1=d15&r1d2=d22&r1d3=d32&r1d4=d44&r1d5=d52&r1d6=d63&r1d7=d73&r1d8=d82&r1d9=d95&r1d10=d101&r1d11=d15",83,11,143,142,46,167,95,117,161,21,191
South Tyneside,E08000023,South Tyneside,4,1,1,1,2,4,1,2,2,2,148671,20,South_Tyneside,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=South_Tyneside&r1d1=d14&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d52&r1d6=d64&r1d7=d71&r1d8=d82&r1d9=d92&r1d10=d102&r1d11=d14",190,59,209,215,185,158,80,183,157,159,173
Sunderland,E08000024,Sunderland,4,1,1,1,1,2,1,2,1,1,277150,15,Sunderland,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Sunderland&r1d1=d14&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d62&r1d7=d71&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d14",211,54,203,203,189,188,157,175,139,177,215
Blackburn with Darwen,E06000008,Blackburn with Darwen,1,1,2,1,1,3,1,3,1,2,146846,16,Blackburn_with_Darwen,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Blackburn_with_Darwen&r1d1=d11&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d51&r1d6=d63&r1d7=d71&r1d8=d83&r1d9=d91&r1d10=d102&r1d11=d11",205,186,196,159,191,195,93,177,120,204,161
Blackpool,E06000009,Blackpool,1,1,1,1,1,5,1,1,1,4,139578,17,Blackpool,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Blackpool&r1d1=d11&r1d2=d21&r1d3=d31&r1d4=d41&r1d5=d51&r1d6=d65&r1d7=d71&r1d8=d81&r1d9=d91&r1d10=d104&r1d11=d11",197,199,216,216,214,190,21,188,178,215,49
Cheshire East,E06000049,Cheshire East,5,4,4,5,2,5,5,5,5,5,375392,45,Cheshire_East,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Cheshire_East&r1d1=d15&r1d2=d24&r1d3=d34&r1d4=d45&r1d5=d52&r1d6=d65&r1d7=d75&r1d8=d85&r1d9=d95&r1d10=d105&r1d11=d15",6,26,53,49,31,173,20,14,15,10,2
Cheshire West and Chester,E06000050,Cheshire West and Chester,5,4,4,5,2,4,5,3,5,5,333917,42,Cheshire_West_and_Chester,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Cheshire_West_and_Chester&r1d1=d15&r1d2=d24&r1d3=d34&r1d4=d45&r1d5=d52&r1d6=d64&r1d7=d75&r1d8=d83&r1d9=d95&r1d10=d105&r1d11=d15",19,43,70,68,32,172,79,40,126,23,24
Halton,E06000006,Halton,5,1,2,1,1,3,2,2,1,1,126528,19,Halton,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Halton&r1d1=d15&r1d2=d21&r1d3=d32&r1d4=d41&r1d5=d51&r1d6=d63&r1d7=d72&r1d8=d82&r1d9=d91&r1d10=d101&r1d11=d15",194,12,194,141,192,210,126,171,137,194,194
Warrington,E06000007,Warrington,2,4,5,5,1,5,5,3,4,2,207695,36,Warrington,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Warrington&r1d1=d12&r1d2=d24&r1d3=d35&r1d4=d45&r1d5=d51&r1d6=d65&r1d7=d75&r1d8=d83&r1d9=d94&r1d10=d102&r1d11=d12",40,148,61,33,28,207,14,33,105,49,162
Cumbria,E10000006,Cumbria,4,3,4,2,2,1,5,4,4,4,497996,33,Cumbria,"http://www.sichunlam.com/projects/radar/?&d1=Housing&d2=Economy&d3=Security&d4=Education&d5=Health&d6=Green&d7=Equality&d8=Wellbeing&d9=Services&d10=Civic Engagement&s1=0,110,199&f1=0,110,199&r1=Cumbria&r1d1=d14&r1d2=d23&r1d3=d34&r1d4=d42&r1d5=d52&r1d6=d61&r1d7=d75&r1d8=d84&r1d9=d94&r1d10=d104&r1d11=d14",53,71,122,79,152,132,214,42,53,58,44
