Area Code,Type,Level,Unitary and upper-tier local authorities (217),Unitary and lower-tier local authorities (391),Combined authorities (9),English unitary and upper-tier local authorities (152),English unitary and lower-tier local authorities (326),Good Growth City Approximate Travel To Work Areas (42),Centre for Cities Primary Urban Areas (63),Centre for Cities mid-sized cities (26),Authority,FullDataSet,Population,AdditionalAffordableHomes,HomelessAcceptances,VacantDwellings,OutOfWorkBenefits,NVQLevel4,NewBusinessRegistrations,YouthOffenders,Violence,CriminalDamage,NEET,GCSEs,KS2RWM,LifeExpectancy,LEInequality,GPper100000,WasteAndRecycling,LocalCO2,Emissions,IQRAnnualEarnings,ChildPoverty,IDAOPI,LifeSatisfaction,Worthwhile,HappyYesterday,MortalityHealthcare,Access,Sports,ElectionTurnout,VolunteerSport,CouncilTax,Area,Codes
E92000001,Country,Country,0,0,0,0,0,0,0,0,ENGLAND,1,54786327,29.37,0.66,2.5,8.19,36.21,77.28,358.87,7.69,9.29,4.11,57.25,53.61,80.61,6.99,66.85,40.39,2.91,5.92,21487,19.72,0.17,7.64,7.83,7.47,112.1,99.22,23.61,45.14,13.86,96.09,ENGLAND,E92000001
E12000001,Region,Region,0,0,0,0,0,0,0,0,NORTH EAST,1,2624621,26.79,0.26,3.39,11.83,30.61,44.66,428.15,8.3,14.11,5.69,56.42,57.37,79.54,9.31,70.78,35.66,1.75,8.06,17903,25.28,0.21,7.62,7.79,7.36,126.42,100.02,23.22,38.26,12.76,96.23,NORTH EAST,E12000001
E06000047,LA,Upper,1,1,0,1,1,0,0,0,County Durham,1,519695,25.17,0.2,4.3,11.6,29,38.1,370.04,6.77,12.25,5.9,57.6,60,79.68,7.21,67.63,39.15,1.8,5.64,17269,23.3,0.19,7.62,7.8,7.29,123.49,100.14,20,28.3,12.76,96.32,County Durham,E06000047
E06000005,LA,Upper,1,1,0,1,1,0,0,0,Darlington,1,105389,18,0.1,3.4,10.8,31.5,49.2,490.3,8.81,14.16,6.4,56.7,57,79.96,10.56,65.47,37.04,1.8,5.64,19194,21.4,0.18,7.62,7.91,7.56,122.16,99.9,29.4,58.9,12.76,95.17,Darlington,E06000005
E06000001,LA,Upper,1,1,0,1,1,0,0,0,Hartlepool,1,92493,31,0.3,4,15.1,24.4,52.1,394.25,9.3,17.76,4.5,48,53,79.11,9.63,60.87,35.9,1.7,6.75,17615,30.1,0.24,7.56,7.73,7.26,136.39,99.89,25.4,27.4,12.76,95.39,Hartlepool,E06000001
E06000002,LA,Upper,1,1,0,1,1,0,0,1,Middlesbrough,1,139509,18,0.2,3.9,16.4,26.8,47.3,385.09,12.32,19.58,6.3,50.1,49,77.98,11.86,67.18,33.72,1.6,5.08,17275,34.1,0.25,7.71,7.89,7.5,161.46,99.75,21,44.5,12.76,93.58,Middlesbrough,E06000002
E06000057,LA,Upper,1,1,0,1,1,0,0,0,Northumberland,1,315263,25,0.3,3.2,9.5,30.9,43.1,381.78,6.15,11.47,5,55.3,56,80.94,8.28,81.7,38.11,2,-3.19,18538,18.4,0.13,7.76,7.8,7.58,108.59,100.56,18.3,33.8,17.58,97.83,Northumberland,E06000057
E06000003,LA,Upper,1,1,0,1,1,0,0,0,Redcar and Cleveland,1,135275,42,0.1,3.8,13.6,30.2,40.1,396.73,7.28,17.35,7.6,55.9,59,80,7.84,67.18,39.19,1.7,66.02,17903,25.4,0.19,7.63,7.76,7.46,125.17,100.06,25.4,60.6,12.76,95.9,Redcar and Cleveland,E06000003
E06000004,LA,Upper,1,1,0,1,1,0,0,0,Stockton-on-Tees,1,194803,20,0.1,2.8,11.1,35.5,59.6,268.85,8.37,11.61,6.6,58.3,53,79.94,14.33,60.87,25.73,1.6,13.68,20566,22.9,0.18,7.61,7.87,7.46,121.26,100.25,22,60.7,12.76,96.46,Stockton-on-Tees,E06000004
E11000007,LA,Upper,0,0,0,0,0,0,0,0,Tyne and Wear (Met County),1,1122194,28.96,0.3,2.97,11.77,31.38,44.72,501.84,9.08,14.78,5.36,57.38,58.52,79.55,9.42,73.08,34.75,1.7,5.08,17668,24.91,0.23,7.56,7.77,7.28,131.03,99.82,25.57,35.72,11.41,96.23,Tyne and Wear (Met County),E11000007
E08000037,LA,Lower,1,1,0,1,1,0,0,0,Gateshead,1,200996,14,0.5,3,11.4,32.3,42.8,366.34,7.89,15.24,5.3,59,61,79.58,8.46,82,33.18,1.7,5.82,15797,22.2,0.22,7.66,7.85,7.33,139.62,99.83,20.8,35,12.52,95.59,Gateshead,E08000037
E08000021,LA,Lower,1,1,0,1,1,0,0,0,Newcastle upon Tyne,1,292883,19,0.3,2.3,10.3,36.9,52,501.84,11.35,16.06,5.7,56,57,79.63,10.93,69.73,38.53,1.6,5.11,19587,29.1,0.25,7.42,7.63,7.16,130.63,99.73,28,39.8,14.86,97.06,Newcastle upon Tyne,E08000021
E08000022,LA,Lower,1,1,0,1,1,0,0,0,North Tyneside,1,202494,72,0.4,3.2,10.3,34.4,47.1,331.82,7.28,12.69,3.8,62.7,56,80.13,9.93,83.11,36.57,1.7,4.66,19375,19.1,0.19,7.6,7.75,7.31,116.98,99.86,30.9,36.5,10.53,96.61,North Tyneside,E08000022
E08000023,LA,Lower,1,1,0,1,1,0,0,0,South Tyneside,1,148671,25,0.3,3.1,14.5,26.5,43.9,741.96,9.58,15.45,5.7,57.5,57,79.56,8.3,74.06,37.01,1.7,4.06,17177,27.3,0.25,7.59,7.78,7.31,128.84,99.82,23.8,33.6,13.16,95.9,South Tyneside,E08000023
E08000024,LA,Lower,1,1,0,1,1,0,0,1,Sunderland,1,277150,21,0.1,3.4,13.2,25.3,37.1,595.52,8.61,14.27,6,53.7,61,79,8.73,62.3,29.35,1.8,5.37,16238,25.4,0.25,7.6,7.85,7.33,136.87,99.88,23.5,32.5,6.67,95.73,Sunderland,E08000024
E12000002,Region,Region,0,0,0,0,0,0,0,0,NORTH WEST,1,7173835,39.19,0.42,3.28,10.25,32.61,62.81,324.59,8.29,11.49,4.8,56.29,53.18,79.83,9.46,68.66,42.76,1.73,6.02,19418,22.22,0.2,7.55,7.8,7.38,131.2,99.86,24.05,40.42,13.34,95.66,NORTH WEST,E12000002
E06000008,LA,Upper,1,1,0,1,1,0,0,0,Blackburn with Darwen,1,146846,25.85,0.2,5,12.8,25.6,61.7,245.05,11.21,12.51,5.7,59.8,51,78.66,10.09,69.21,36.43,1.6,4.76,14613,27.9,0.25,7.59,7.84,7.43,155.9,99.52,20.9,36,13.34,95.23,Blackburn with Darwen,E06000008
E06000009,LA,Upper,1,1,0,1,1,0,0,1,Blackpool,1,139578,18,0.2,5.7,16.7,21.9,50.3,496.6,20.91,19.77,6.4,43,49,76.89,10.1,74.96,45.09,1.7,4.08,13899,31.1,0.25,7.45,7.74,7.37,174.09,99.43,18.4,56.9,13.34,90.72,Blackpool,E06000009
E06000049,LA,Upper,1,1,0,1,1,0,0,0,Cheshire East,1,375392,26,0.2,2.4,6,38.4,77.9,324.59,6.6,7.61,2.8,61.9,52,81.99,8.8,67.35,55.34,2,7.51,22505,12.2,0.1,7.85,8.1,7.63,101.58,100.44,31.8,65.4,16.67,98.06,Cheshire East,E06000049
E06000050,LA,Upper,1,1,0,1,1,0,0,0,Cheshire West and Chester,1,333917,23,0.2,2.8,7.3,39.7,65.7,324.59,7.84,7.92,2.9,62.1,53,81.49,9.4,74.04,57.67,1.8,12.29,21609,15.5,0.13,7.6,7.8,7.43,101.61,100.25,27.1,67.6,12.78,97.75,Cheshire West and Chester,E06000050
E06000006,LA,Upper,1,1,0,1,1,0,0,0,Halton,1,126528,43,0.2,2.2,11.7,22.3,54.3,305.42,9.68,10.5,5.1,55.6,47,79.04,10.55,62.71,41.38,1.5,8.67,19458,25.3,0.21,7.61,7.83,7.35,149.06,100.14,23,27.1,13.34,95.19,Halton,E06000006
E06000007,LA,Upper,1,1,0,1,1,0,0,0,Warrington,1,207695,25,0.6,2.6,7.4,42.1,73.2,201.12,7.52,7.74,3.1,57.9,61,80.16,10.16,61.43,52.7,1.7,6.77,20262,14.4,0.14,7.62,7.82,7.5,122.15,100.13,28.1,34.9,13.34,97.31,Warrington,E06000007
E10000006,LA,Upper,1,0,0,1,0,0,0,0,Cumbria,1,497996,25,0.1,3.9,8.1,31,48.1,349.92,6.8,10.15,4.2,56.6,51,81.08,8.53,78.75,42.96,15.8,7.52,22826,15,0.13,7.74,7.96,7.55,114.96,100.37,25.87,48.94,15.35,97.82,Cumbria,E10000006
E07000026,LA,Lower,0,1,0,0,1,0,0,0,Allerdale,1,96660,35,0.1,4.1,8.6,33.1,45.8,349.92,6.07,10.6,4.2,56.6,51,80.63,8.53,78.75,36.91,2.1,8.5,22826,16.7,0.14,7.82,7.94,7.7,118.98,100.47,26.5,59,19.89,97.82,Allerdale,E07000026
E07000027,LA,Lower,0,1,0,0,1,0,0,0,Barrow-in-Furness,1,67515,25,0.1,4.5,11.7,20.4,45.8,349.92,10.68,13.13,4.2,56.6,51,79.07,8.53,78.75,30.76,1.7,4.41,23068,21,0.17,7.68,7.76,7.47,140.83,99.41,25.8,51.5,10.7,96.85,Barrow-in-Furness,E07000027
E07000028,LA,Lower,0,1,0,0,1,0,0,0,Carlisle,1,108155,15,0.1,3,8.7,31.3,48.7,349.92,7.83,12.78,4.2,56.6,51,80.99,8.53,78.75,39.65,2,3.37,15314,15.8,0.14,7.6,7.96,7.35,120.61,100.27,25.5,35.4,12.85,97.38,Carlisle,E07000028
E07000029,LA,Lower,0,1,0,0,1,0,0,0,Copeland,1,69647,22,0.1,4.5,9.7,23.3,43.9,349.92,6.91,9.08,4.2,56.6,51,79.79,8.53,78.75,32.31,1.9,3.07,33147,18.3,0.14,7.49,7.81,7.45,140.37,100.52,22.6,48.7,18.34,97.87,Copeland,E07000029
E07000030,LA,Lower,0,1,0,0,1,0,0,0,Eden,1,52565,24,0.1,4,4.9,34.6,41.6,349.92,3.99,5.84,4.2,56.6,51,82.97,8.53,78.75,43.25,2.6,21.28,17628,9.8,0.09,7.99,8.38,7.72,94.23,101.1,21.8,56.8,15.02,98.59,Eden,E07000030
E07000031,LA,Lower,0,1,0,0,1,0,0,0,South Lakeland,1,103454,22,0.1,3.8,4.8,40,56.8,349.92,5.24,7.92,4.2,56.6,51,82.74,8.53,78.75,41.93,2.3,8.99,22826,8.6,0.09,7.87,7.97,7.66,87,100.55,30,48.2,14.91,98.48,South Lakeland,E07000031
E11000001,LA,Upper,0,0,0,0,0,0,0,0,Greater Manchester (Met County),1,2756162,22.53,0.67,2.74,10.48,33.53,72.4,361.99,7.69,12.63,4.94,55.77,55.12,79.4,9.55,67.4,43.6,1.64,4.96,18792,25.52,0.23,7.54,7.75,7.35,142.87,99.69,22.65,34.4,12.14,94.75,Greater Manchester (Met County),E11000001
E08000001,LA,Lower,1,1,0,1,1,0,0,1,Bolton,1,281619,15,0.4,3.8,11.1,30.5,64,326.35,8.08,12.28,4.8,54,56,79.87,11.09,69.63,39.14,1.7,4.85,17252,25.4,0.21,7.53,7.81,7.37,135,99.68,24.4,37.9,12.1,95.88,Bolton,E08000001
E08000002,LA,Lower,1,1,0,1,1,0,0,0,Bury,1,187884,14,0.4,3.1,9.6,37,72.8,295.25,7.04,9.56,3.7,57.3,55,79.84,8.99,65.41,49.05,1.8,5.16,18769,18.7,0.17,7.61,7.74,7.32,130.84,99.72,23.3,38,10,97.06,Bury,E08000002
E08000003,LA,Lower,1,1,0,1,1,0,0,0,Manchester,1,530292,17,1.5,1.8,11.7,39.5,98.8,518.89,10.7,14.83,6,49.9,52,77.67,7.8,72.71,31.93,1.4,4.61,17632,36,0.36,7.36,7.5,7.13,186.81,99.44,20.9,30.3,11.72,92.41,Manchester,E08000003
