Area Name,Area ID,185,14006,26,9150,97,37,42,123,476,468,9636,6014,6080,95,96,3155,3156,10287,46,51,53,3475,15369,3911,17655,9092,9097,9102,13669,3908,10269,3361,10397,200
Hartlepool,E06000001,12,2.77,4.7,4.69,7.3,30.1,36.9,207,11.53,15.15,2.8,47.4,65,76.5,81.1,57.6,58.8,0.085,30.1,1.4,6.2,"27,717.00",30.1,0.228,28.1,7.33,7.68,7.21,205.3,14.242,47.2,34.9,14.4,91.6
Middlesbrough,E06000002,11,15.79,4.5,5.04,10.1,28.6,54.3,171,16.35,26.35,3.9,46.7,61,75.4,79.8,58.8,60.6,0.092,28.6,1.3,3.9,"26,393.00",42.4,0.233,28.2,7.21,7.62,7.26,245,14.183,53.4,35.6,8.2,91.42
Redcar and Cleveland,E06000003,24,5.44,3.3,5.65,4.7,33.4,30.2,195,8.73,15.92,4.7,48.8,69,77.5,81.5,56.9,58.5,0.08,37.3,1.5,12.1,"24,781.00",30.7,0.168,21.5,7.44,7.76,7.49,192.9,14.139,55.2,35.6,15.9,92.99
Stockton-on-Tees,E06000004,18,4.04,3.6,5.5,6,35.6,46.5,157,9.45,13.28,4.1,50.4,64,78.1,81.3,60.1,61.5,0.096,24.3,1.4,12.2,"27,834.00",26.6,0.16,19.9,7.4,7.74,7.25,179.5,15.87,56.7,35.6,13.2,94.43
Darlington,E06000005,25,3.41,3.2,4.92,5.4,38.4,43,232,10.45,13.18,4,50.7,61,78.1,81.2,59.5,60.6,0.112,35.1,1.5,4.5,"27,646.00",28.5,0.152,19.1,7.25,7.55,7.12,169.1,11.942,54.9,35.6,13.9,94.87
Halton,E06000006,128,8.95,2.1,5.65,4.3,30.4,45.3,107,11.64,10.48,2.6,47.2,56,77.4,81.4,61.4,58,0.1,39.3,1.2,4.9,"28,829.00",16.6,0.181,25.9,7.29,7.68,7.31,196.1,16.214,58.6,24.8,13.9,94.12
Warrington,E06000007,27,3.84,2.1,7.14,2.8,41.6,62.4,116,10.23,7.32,2.2,51.8,70,78.9,82.3,64.6,64.8,0.129,44.4,1.3,5.6,"31,517.00",13.6,0.121,14.9,7.21,7.5,7.14,144.1,17.152,61.1,37.4,14.3,96.48
Blackburn with Darwen,E06000008,1,2.89,4.3,5.17,5.6,33.7,73.2,76,12.68,12.54,2.3,50.7,60,76.3,80.3,58.8,59.7,0.153,29.8,1.3,4.1,"25,902.00",34,0.238,19.7,7.43,7.69,7.49,211.6,12.312,52.5,31.4,17.7,94.76
Blackpool,E06000009,33,7.21,5.1,5.41,5.7,28.8,60.6,206,26.31,19.29,6.9,41.7,62,74.1,79,53.5,54.3,0.108,27.5,1.5,3.2,"22,833.00",24,0.231,31.3,7.16,7.45,7.16,265.2,11.804,53.5,35.6,6.9,88
Kingston upon Hull,E06000010,24,33.2,3.8,4.76,6.2,24.7,42.8,192,17.56,18.75,3.3,47.5,63,75.6,80,53.8,57.9,0.112,49.2,1.2,4,"26,048.00",33.4,0.257,23.7,7.14,7.44,7.28,236.3,21.108,49.8,24,8.7,92.9
East Riding of Yorkshire,E06000011,24,7.42,2.7,6.83,3.2,39.6,47,70,7.01,6.52,2.8,51.4,61,80.1,83.5,65.3,67.9,0.096,60.8,1.6,7,"30,361.00",16.7,0.108,13.4,7.74,8.01,7.56,119.5,19.842,57.4,35.6,16.8,97.36
North East Lincolnshire,E06000012,38,12.01,4,5.24,3.8,23.6,53.7,118,13.69,16.26,4.9,45.8,59,78,82.2,55.2,57.5,0.107,35.5,1.4,7.2,"28,110.00",26.2,0.17,23.1,7.42,7.67,7.4,195.1,13.386,55.8,26.2,14.8,93.06
North Lincolnshire,E06000013,36,3.8,2.8,5.5,1.6,31.3,44.4,185,9.47,10.61,3.3,47.6,59,78.7,82.7,58.7,56.4,0.104,51.9,1.5,37.8,"29,530.00",23.1,0.135,19.6,7.45,7.81,7.45,163.5,14.96,50.2,35.6,15.5,94.55
York,E06000014,26,1.98,2.8,8.85,1.6,59.3,44,147,9.76,7.49,2.2,55.3,61,79.9,83.6,65.3,64.6,0.076,44.1,1.3,3.4,"30,878.00",12.9,0.094,10.8,7.46,7.62,7.39,136,15.871,66.5,35.6,12.3,96.77
Derby,E06000015,42,13.51,3,6.02,3.9,42,54.1,249,12.97,11.88,4.7,46.4,55,77.7,81.5,57.7,61.6,0.117,36.7,1.3,4,"30,739.00",22.2,0.168,22.7,7.34,7.68,7.29,173.3,19.864,58.1,33.4,12,92.57
Leicester,E06000016,13,18.25,3,8.28,6.1,35.5,153,188,18.76,13.51,4.4,47.2,58,76.8,81.5,59.6,57.5,0.138,35.7,1.1,3.3,"25,355.00",28.3,0.298,19.7,7.4,7.68,7.35,178.1,16.433,51.5,35.6,14.1,92.97
Rutland,E06000017,18,1.47,3,10.44,2.8,43.2,108,155,6.25,4.77,1.6,55.3,67,83.2,85,74.7,66.8,0.124,52.3,1.6,22.5,"32,597.00",8.5,0.064,7.2,7.48,7.92,7.68,88.5,23.583,68.9,35.6,15.6,97.91
Nottingham,E06000018,7,25.3,3.1,6.47,5.2,41.7,50.1,447,13.83,12.32,4.9,45.8,59,76.6,81,57.4,57.1,0.133,23.9,1.1,3.1,"25,196.00",25.1,0.238,26.4,7.12,7.66,7.12,209.7,23.586,60.7,35.6,10.3,93.08
Herefordshire,E06000019,31,13.33,1.3,9.4,3.1,39,51.7,236,8.66,6.41,2.5,50.6,60,79.9,83.8,64.2,66.3,0.098,38.7,1.4,3.9,"29,258.00",16.4,0.109,13,7.52,7.81,7.51,125.2,26.817,65.1,35.6,14.8,98.03
Telford and Wrekin,E06000020,33,3.65,2.5,6.85,4.4,35.2,76.9,109,11.59,8.42,4.1,50.2,61,78.2,81.9,57.6,60.3,0.077,48.2,1.2,4.4,"28,450.00",21.4,0.166,20.3,7.39,7.76,7.37,167.6,19.797,55.6,35.6,13.7,97.26
Stoke-on-Trent,E06000021,37,12.21,3.9,4.86,2.9,29,52.7,258,12.39,11.61,4.2,45.1,56,75.9,79.7,55.9,55.1,0.148,31.7,1.3,4.6,"26,766.00",33.2,0.184,24.5,7.39,7.71,7.32,215.1,15.555,52.4,35.6,7.9,95.09
Bath and North East Somerset,E06000022,18,1.46,2.4,11.91,1.7,51.9,64.8,119,6.23,6.58,3.4,55,63,80.9,84.9,65.7,65.7,0.138,59.2,1.3,3,"30,906.00",9.1,0.096,11.2,7.29,7.57,7.28,105.7,16.763,66.7,35.6,14.6,97.83
Bristol,E06000023,24,19.65,2.1,9.71,2.5,56.4,68.4,216,10.63,12.34,4.5,49.6,61,78.5,82.7,59.8,61.5,0.103,46.4,1.1,2.9,"32,452.00",17.8,0.175,18.9,7.15,7.47,6.99,167.7,23.624,70.4,39.6,13.7,92.67
North Somerset,E06000024,11,5.36,2,9.88,2.4,40.9,59.8,80,7.05,7.21,3.6,52.3,59,80.5,84.6,61.9,68.1,0.074,60.4,1.3,4.5,"30,359.00",11.2,0.104,11.2,7.34,7.73,7.24,111,18.52,63.1,35.6,16.7,98.01
South Gloucestershire,E06000025,27,6.27,2,9.46,2.8,45.5,50.9,75,5.07,5.63,5,50.9,60,81.6,84.4,65.3,67.1,0.083,58.5,1.2,5,"31,714.00",10.2,0.087,9.3,7.52,7.67,7.31,103.5,19.871,62.7,35.6,13.2,96.44
Plymouth,E06000026,20,17.42,2,7.53,3.2,37.7,44.5,250,14.14,10.29,4.4,50.5,60,78.8,82.5,64.3,59.3,0.107,30.6,1.1,3,"25,903.00",16.8,0.153,17.2,7.55,7.75,7.44,164,18.139,63.2,35.7,18.1,96.75
Torbay,E06000027,5,3.88,3.6,8.71,2.9,30.7,45.8,169,13.46,10.77,3.6,51.3,60,78.6,82.5,63.8,61.9,0.088,35.5,1.2,2.9,"26,416.00",17.2,0.174,19.5,7.34,7.69,7.41,169.5,20.512,60.8,35.6,15.9,95.25
Swindon,E06000030,22,8.01,2,7.89,4.4,33.7,57.3,148,10.1,7.53,3.9,49.3,62,79.8,83.6,61.4,62.2,0.099,39.6,1.2,3.9,"30,662.00",13.5,0.131,14.6,7.28,7.65,7.21,131.6,19.022,64.1,36.9,11.3,95.21
Peterborough,E06000031,32,11.8,2.6,7.68,3,36,88.6,231,9.58,11.51,5.6,46.3,52,78.6,82.5,61.8,59.1,0.094,40.9,1.2,4.9,"28,646.00",23.8,0.169,20.4,7.21,7.69,7.28,164.6,26.749,52.1,33.7,10.9,95.86
Luton,E06000032,52,22.21,2.2,9.23,5.7,37.3,91.1,123,9.26,7.78,3.2,47.1,55,78.1,82.4,59.2,60,0.122,29.5,1.1,2.8,"29,258.00",27.8,0.198,19.1,7.19,7.78,7.45,153.2,30.233,52.4,35.6,8.5,94.43
Southend-on-Sea,E06000033,12,4.06,2.6,9.13,3.7,37.9,64.3,182,11.34,9.9,2.7,57.6,66,78.4,82.7,63.7,62.1,0.12,43.7,1.4,2.7,"35,588.00",14,0.153,16.8,7.32,7.66,7.33,149.6,17.644,57.5,33.4,13.9,97.41
Thurrock,E06000034,26,2.84,2.3,9.07,5.6,26.8,84.5,129,7.8,9.59,1.7,49.4,62,78.3,82.6,62.8,61.7,0.131,28,1.2,4.9,"35,027.00",15.4,0.148,15.1,7.42,7.89,7.6,138.6,24.22,50.2,27.1,12.8,98.17
Medway,E06000035,6,43.5,3.1,8.8,3.9,36.9,69,110,11.8,13.32,5.8,49.4,58,78.3,82.4,60.9,63.6,0.147,41.8,1.2,2.7,"30,981.00",19.5,0.133,17,7.47,7.81,7.31,148.1,19.252,56.6,35.6,12.4,94.02
Bracknell Forest,E06000036,21,1.36,2.8,9.92,3.4,38.8,53.3,133,5.94,5.64,2,52.8,57,81.7,85.4,66.4,66.5,0.121,43.4,1.3,3.1,"37,296.00",10.7,0.099,7.7,7.29,7.68,7.41,111.5,25.882,61.5,35.6,14.4,97.31
West Berkshire,E06000037,16,1.71,2.2,10.94,2.8,51.5,70.8,150,5.12,6.4,1.9,52.4,62,81.4,85.2,69.4,70.1,0.082,49,1.5,5.6,"34,724.00",10.2,0.076,9.3,7.34,7.61,7.23,104.6,21.001,62.6,35.6,15.6,97.26
Reading,E06000038,5,15.99,2.5,8.84,4.8,55.4,70,225,11.79,9.77,3.4,55.4,59,79,82.3,66.4,62.6,0.125,36.1,1.2,2.8,"36,500.00",15.5,0.173,13.5,7.31,7.46,7.16,147.6,27.441,65.3,35.7,17.3,95.53
Slough,E06000039,8,6.86,1.4,10.18,6.4,36.3,98.9,125,10.78,9.91,3,56.1,63,78.4,82.5,58.1,60.3,0.114,26.5,1,4.1,"34,371.00",22,0.214,12.9,7.35,7.68,7.19,160.8,36.28,48.5,30.6,6.9,93.92
Windsor and Maidenhead,E06000040,21,1.39,2.7,13.23,4.1,58.6,88.6,140,6.27,5.96,3.6,53.8,66,81.8,84.7,69.7,70.3,0.172,48.3,1.6,4.2,"38,913.00",9.6,0.079,8.5,7.5,7.74,7.39,115.1,18.834,64.1,35.6,22.2,97.11
Wokingham,E06000041,27,1.66,2,11.7,2.8,56.8,69,91,4.32,4.37,2.9,57.6,70,82.4,85.5,70.9,71.2,0.098,49.5,1.4,3.5,"38,459.00",7.6,0.056,6.1,7.33,7.63,7.29,88,22.581,64.6,42.9,17.5,99.47
Milton Keynes,E06000042,28,15.51,1.9,9.37,1.7,43.4,86.5,126,10.33,8.91,2.3,48.7,63,79.3,83.2,62.1,65.2,0.152,53.8,1.3,4.2,"33,927.00",18.1,0.131,15,7.36,7.59,7.22,146,30.625,61.4,36.1,12.6,97.81
Brighton and Hove,E06000043,25,6.86,3.6,12.57,5,57.2,121.7,165,10.15,8.84,3.5,52.5,64,79.3,83.2,65.6,65.3,0.13,29.2,1.1,2.6,"32,816.00",14.4,0.187,15.1,7.27,7.61,7.13,167.4,23.287,68.1,35.6,12,95.47
Portsmouth,E06000044,68,25.49,3.1,8.2,5.5,47.2,60.7,287,16.88,10.57,3.8,46.3,57,78.5,82.4,61.5,61.4,0.088,24.7,1,3.2,"28,827.00",21.4,0.171,22,7.42,7.61,7.51,192,21.275,59.8,32,11.3,89.4
Southampton,E06000045,18,15.05,2.7,7.51,4.8,43.7,88.4,175,17.03,11.8,4.7,46.2,62,78.3,82.5,61.4,63.1,0.131,27.5,1,2.6,"30,615.00",22.2,0.173,25.4,7.26,7.65,7.15,189.1,19.667,61.6,32.6,10.6,92.67
Isle of Wight,E06000046,34,4.47,1.8,9.5,8.3,31.1,37.4,239,10.95,7.68,4.4,47,55,79.6,83.4,61.8,62.6,0.105,53.4,1.3,3,"27,374.00",22.2,0.132,17,7.48,7.72,7.5,139.4,18.731,65.3,36.6,15.5,96.64
Durham,E06000047,29,3.41,3.6,4.42,4.4,32.4,41.6,140,8.54,14.84,5.2,50.1,65,77.7,81.2,58.8,59.9,0.116,37.3,1.6,3.9,"28,259.00",28.8,0.17,20.6,7.43,7.78,7.4,183.5,14.094,59,36.6,15.5,95.46
Cheshire East,E06000049,19,3.85,2.6,8.29,4.8,45.1,70.3,73,6.77,5.03,1.4,52.3,64,80.3,83.8,67.4,67.4,0.098,57.5,1.7,5.7,"32,103.00",11.9,0.086,10.5,7.6,7.73,7.43,126.5,19.367,67.1,35.6,18,97.8
Cheshire West and Chester,E06000050,27,5.99,2.5,6.99,2,43.6,58.5,104,9.84,7.7,2.7,51.6,59,79.7,83.4,63.1,67.9,0.137,54.5,1.5,9.8,"32,921.00",13.4,0.113,13,7.41,7.73,7.39,141.6,16.288,68.3,35.6,17.9,96.83
Shropshire,E06000051,18,14.61,2.9,8.53,2.8,41.5,43.3,64,6.91,5.74,5.9,49.9,62,80.2,83.7,62.8,67.1,0.132,53.3,1.4,4.2,"29,558.00",16.8,0.113,12.7,7.49,7.84,7.48,125.1,25.498,65.6,38,12.6,98.07
Cornwall,E06000052,26,3.98,2.5,10.74,3.6,36.4,47.5,116,8.27,7.76,4,50.1,59,79.8,83.7,63.8,66,0.105,33.3,1.3,3.6,"25,597.00",17.6,0.138,15.8,7.56,7.78,7.52,136.3,24.726,67.9,39.2,14.8,97.24
Isles of Scilly,E06000053,0,0,3.2,10.74,3.6,36.4,26.2,116,4.94,5.39,5.3,50.1,35,79.8,83.7,63.8,66,0.449,35.9,1,2.8,"25,597.00",7.9,0.05,1.1,7.43,7.74,7.35,138.9,20.576,74.6,35.6,32.2,98.04
Wiltshire,E06000054,25,7.5,2.5,9.87,2.7,45.5,49,82,7.36,6.86,5.6,51.4,59,80.9,84.5,66.5,65.2,0.101,42.3,1.3,4.1,"30,399.00",10,0.087,10.9,7.5,7.74,7.34,108.8,24.622,68.2,40.2,18.2,97.9
Bedford Borough,E06000055,27,5.26,2.6,9.67,2.5,49.5,66,179,8.36,7.97,2.4,48.6,53,79.2,83.2,62.3,59.3,0.143,40,1.3,3.6,"31,036.00",14.9,0.115,13.6,7.48,7.46,7.35,129.8,24.837,64.1,35.6,14,97.05
Central Bedfordshire,E06000056,16,1.65,2.5,9.43,1.8,41.9,56.1,90,4.81,5.47,3.3,49.2,58,80.7,84,67.9,66.3,0.078,46.1,1.3,4.4,"35,000.00",10.8,0.087,8.4,7.56,7.83,7.55,116.8,20.636,65,35.6,16.3,97.37
Northumberland,E06000057,23,7.24,3.4,6.52,5.2,35.4,37.4,89,8.41,8.5,3.4,49.8,61,79.3,82.9,61.5,62.3,0.108,33.4,1.7,1.2,"28,229.00",25.6,0.115,16.2,7.53,7.72,7.28,151,21.846,65.5,39.8,12.6,97.41
"Bournemouth, Christchurch and Poole",E06000058,4,9.63,2.8,11.3,5.5,40.2,61.3,242,9.82,9.79,3.3,54.2,60,80.3,83.7,64.9,65.2,0.113,51.3,1.2,3,"28,755.00",12.8,0.13,13.6,7.46,7.7,7.33,136,21.138,65.9,35.6,9.9,95.32
