Area Name,Area ID,185,14006,26,9150,97,37,42,123,476,468,9636,6014,6080,95,96,3155,3156,10287,46,51,53,3475,15369,3911,17655,9092,9097,9102,13669,3908,10269,3361,10397,200
Hartlepool,E06000001,16%,76%,0%,98%,7%,10%,9%,7%,12%,3%,69%,5%,76%,6%,10%,5%,8%,9%,9%,33%,13%,15%,5%,6%,2%,32%,35%,23%,4%,91%,0%,25%,63%,3%
Middlesbrough,E06000002,13%,11%,1%,97%,1%,6%,52%,16%,1%,0%,20%,4%,33%,2%,2%,10%,17%,13%,7%,61%,57%,5%,0%,5%,2%,15%,24%,31%,0%,92%,6%,29%,5%,2%
Redcar and Cleveland,E06000003,43%,52%,11%,91%,33%,20%,2%,8%,50%,2%,9%,9%,91%,14%,15%,3%,7%,6%,26%,18%,3%,1%,4%,18%,9%,55%,58%,75%,6%,92%,11%,29%,76%,7%
Stockton-on-Tees,E06000004,29%,62%,7%,92%,15%,28%,33%,20%,31%,5%,17%,33%,71%,23%,13%,14%,24%,17%,2%,33%,3%,16%,10%,20%,12%,45%,53%,29%,11%,87%,17%,29%,36%,14%
Darlington,E06000005,48%,68%,14%,97%,24%,40%,22%,4%,20%,6%,18%,42%,33%,23%,11%,12%,17%,40%,20%,18%,38%,14%,7%,22%,16%,18%,12%,13%,16%,97%,10%,29%,42%,18%
Halton,E06000006,100%,22%,84%,91%,40%,10%,28%,71%,12%,20%,77%,5%,9%,13%,14%,19%,6%,23%,31%,80%,29%,27%,42%,14%,4%,25%,35%,41%,6%,85%,24%,0%,42%,12%
Warrington,E06000007,70%,65%,84%,73%,81%,53%,66%,64%,22%,59%,91%,74%,93%,37%,27%,67%,60%,76%,65%,61%,17%,62%,64%,54%,53%,15%,9%,16%,31%,82%,38%,72%,62%,51%
Blackburn with Darwen,E06000008,1%,74%,1%,95%,21%,21%,81%,94%,8%,8%,89%,42%,28%,5%,4%,10%,11%,94%,9%,61%,49%,4%,1%,4%,13%,51%,39%,75%,2%,97%,5%,11%,86%,17%
Blackpool,E06000009,81%,27%,0%,94%,20%,6%,62%,7%,0%,0%,5%,0%,40%,0%,1%,0%,0%,34%,5%,18%,77%,0%,16%,6%,0%,10%,5%,17%,0%,98%,7%,29%,1%,0%
Kingston upon Hull,E06000010,43%,2%,4%,98%,12%,3%,22%,9%,1%,1%,54%,6%,63%,2%,3%,0%,5%,40%,80%,80%,52%,4%,1%,4%,6%,8%,4%,34%,1%,63%,2%,0%,7%,6%
East Riding of Yorkshire,E06000011,43%,26%,35%,76%,73%,46%,34%,98%,75%,72%,69%,67%,33%,62%,55%,72%,89%,17%,99%,11%,10%,48%,42%,66%,69%,91%,89%,84%,72%,69%,19%,29%,81%,68%
North East Lincolnshire,E06000012,87%,16%,3%,95%,56%,2%,51%,62%,5%,1%,8%,1%,21%,20%,25%,1%,4%,32%,21%,33%,10%,19%,10%,16%,7%,50%,33%,61%,6%,94%,14%,1%,68%,8%
North Lincolnshire,E06000013,85%,66%,31%,92%,99%,13%,27%,12%,31%,20%,54%,7%,21%,34%,38%,9%,1%,28%,85%,18%,0%,38%,17%,30%,14%,57%,68%,72%,20%,90%,2%,29%,73%,15%
