Area Name,Area ID,Housing,Economy,Security,Education,Health,Green,Equality,Wellbeing,Services,Civic engagement,Overall
Hartlepool,E06000001, 0.91 ,-1.91 ,-1.59 , 0.69 ,-6.85 , 0.33 ,-4.41 ,-1.34 ,-1.55 ,-2.04 ,-17.75 
Middlesbrough,E06000002,-0.16 ,-3.49 ,-6.29 ,-1.16 ,-7.25 , 1.15 ,-6.74 ,-1.96 ,-1.64 ,-3.65 ,-31.19 
Redcar and Cleveland,E06000003, 3.36 ,-0.20 ,-0.68 , 0.69 ,-6.45 ,-0.69 ,-2.65 , 0.74 , 0.40 ,-0.89 ,-6.37 
Stockton-on-Tees,E06000004, 2.69 ,-0.62 , 0.76 , 0.77 ,-4.02 ,-1.75 ,-0.78 ,-0.56 , 0.80 ,-1.06 ,-3.78 
Darlington,E06000005, 4.03 ,-0.05 ,-1.07 , 0.37 ,-4.22 , 0.85 ,-0.79 ,-2.72 , 1.51 ,-0.69 ,-2.76 
Halton,E06000006, 11.27 ,-0.18 , 2.01 ,-1.02 ,-4.89 , 2.59 ,-0.71 ,-1.09 , 0.56 ,-3.70 , 4.83 
Warrington,E06000007, 5.14 , 1.80 , 3.37 , 3.86 , 0.13 , 2.56 , 3.94 ,-3.05 , 2.55 , 0.52 , 20.82 
Blackburn with Darwen,E06000008, 0.73 ,-0.43 , 1.59 , 1.38 ,-5.46 , 1.24 ,-3.79 , 0.36 ,-0.39 ,-0.73 ,-5.50 
Blackpool,E06000009, 0.85 ,-1.02 ,-7.90 ,-5.09 ,-11.70 , 0.29 ,-5.42 ,-3.44 ,-1.84 ,-5.38 ,-40.65 
Kingston upon Hull,E06000010, 0.25 ,-1.78 ,-4.52 ,-0.02 ,-8.98 , 3.94 ,-4.89 ,-3.06 ,-3.31 ,-5.84 ,-28.20 
East Riding of Yorkshire,E06000011, 3.75 , 1.30 , 5.66 , 1.50 , 2.04 , 2.76 , 3.75 , 3.61 , 2.15 , 1.12 , 27.63 
North East Lincolnshire,E06000012, 2.58 ,-0.50 ,-0.88 ,-2.62 ,-6.00 , 0.71 ,-1.54 ,-0.17 , 0.58 ,-3.53 ,-11.37 
North Lincolnshire,E06000013, 5.11 , 1.39 , 1.09 ,-0.76 ,-4.58 ,-5.08 , 0.70 , 0.86 , 0.24 ,-0.37 ,-1.40 
York,E06000014, 3.49 , 4.02 , 2.84 , 3.49 , 0.61 , 3.05 , 5.29 ,-0.27 , 4.08 ,-0.37 , 26.23 
Derby,E06000015, 4.05 , 1.18 ,-1.81 ,-3.03 ,-4.42 , 2.06 ,-0.16 ,-0.95 , 0.54 ,-2.69 ,-5.23 
Leicester,E06000016, 1.06 ,-0.08 ,-3.05 ,-1.90 ,-5.11 , 3.01 ,-4.16 ,-0.43 ,-0.25 ,-1.39 ,-12.30 
Rutland,E06000017, 2.17 , 2.20 , 4.78 , 5.09 , 7.93 ,-1.87 , 7.74 , 2.51 , 4.67 , 1.00 , 36.21 
Nottingham,E06000018, 0.52 , 0.41 ,-6.28 ,-2.62 ,-6.46 , 1.70 ,-4.06 ,-2.77 ,-0.82 ,-2.40 ,-22.79 
Herefordshire,E06000019, 5.02 , 1.33 , 1.76 , 1.20 , 1.34 , 1.86 , 3.60 , 1.43 , 2.16 , 0.83 , 20.53 
Telford and Wrekin,E06000020, 4.96 , 0.39 , 2.69 , 0.10 ,-5.11 , 3.73 ,-0.03 , 0.00 , 0.26 , 0.22 , 7.22 
Stoke-on-Trent,E06000021, 2.80 , 0.50 ,-1.71 ,-2.99 ,-8.44 , 1.34 ,-3.51 ,-0.45 ,-1.12 ,-2.26 ,-15.85 
Bath and North East Somerset,E06000022, 2.64 , 3.39 , 4.90 , 2.91 , 3.71 , 4.87 , 5.76 ,-1.75 , 4.93 , 0.69 , 32.04 
Bristol,E06000023, 2.57 , 3.39 ,-0.52 ,-0.43 ,-2.85 , 4.33 , 1.64 ,-4.11 , 2.38 ,-0.62 , 5.78 
